,Director,No. of critics for reviews,Duration,No. of Facebook likes for Director,No. of Facebook likes for Actor 3,Actor 2,No. of Facebook likes for Actor 1,Gross Revenue,Actor 1,No. of users who voted,Total Facebook likes for cast,Actor 3,No. of users for reviews,Language,Country,Content Rating,Budget,No. of Facebook likes for Actor 2,IMDb Score,Aspect Ratio,No. of Facebook likes for Movie,Release Date,Studio,Title,Average Metacritic Score
2059,Michael Polish,113.0,104.0,35.0,844.0,Virginia Madsen,24000.0,10996440.0,J.K. Simmons,19707,27806,Bruce Dern,128.0,English,USA,PG,13000000.0,912.0,6.3,2.35,862,10/15/2006,Warner Independent Pictures,The Astronaut Farmer,58.92857142857143
2060,Lenny Abrahamson,421.0,118.0,412.0,491.0,Jacob Tremblay,805.0,14677654.0,Joan Allen,161288,2499,Cas Anvar,351.0,English,Ireland,R,13000000.0,681.0,8.3,2.35,72000,10/16/2015,Element Pictures,Room,82.6470588235294
2061,John Waters,52.0,95.0,0.0,650.0,Sam Waterston,899.0,7881335.0,Kathleen Turner,21212,3092,Traci Lords,107.0,English,USA,R,13000000.0,849.0,6.7,1.66,3000,04/13/1994,HBO Video,Serial Mom,64.08333333333333
2062,Andrew Fleming,81.0,94.0,26.0,4000.0,Will Ferrell,16000.0,6241697.0,Ryan Reynolds,16059,31005,Kirsten Dunst,210.0,English,France,PG-13,13000000.0,8000.0,6.1,1.85,0,08/04/1999,Sony Pictures Home Entertainment,Dick,67.52380952380952
2063,Craig Bolotin,39.0,99.0,7.0,730.0,Vanessa Williams,3000.0,5871603.0,Rosario Dawson,3116,6485,Robert Ri'chard,39.0,English,USA,R,13000000.0,1000.0,6.0,1.85,251,11/10/1999,20th Century Fox,Light It Up,50.518518518518526
2064,Mark Christopher,63.0,121.0,15.0,812.0,Ellen Albertini Dow,4000.0,16574731.0,Salma Hayek,27675,6910,Sela Ward,181.0,English,USA,R,13000000.0,957.0,5.8,1.85,0,08/28/1998,Miramax Films,54,39.75
2065,Jez Butterworth,111.0,93.0,16.0,258.0,Mathieu Kassovitz,567.0,4919896.0,Mark Gatiss,21530,1775,Ben Chaplin,159.0,English,UK,R,13000000.0,326.0,6.1,2.35,618,02/01/2002,Miramax Films,Birthday Girl,56.125
2066,Paul Weitz,150.0,107.0,80.0,252.0,Sarita Choudhury,2000.0,18004225.0,Tina Fey,28573,3004,Christopher Evan Welch,87.0,English,USA,PG-13,13000000.0,257.0,5.7,2.35,5000,03/22/2013,Focus Features,Admission,51.51282051282051
2067,Atom Egoyan,226.0,96.0,460.0,73.0,Meghan Heffern,14000.0,3074838.0,Liam Neeson,56264,14372,Natalie Lisinska,166.0,English,USA,R,11000000.0,153.0,6.3,1.85,0,03/26/2010,Sony Pictures Classics,Chloe,54.24242424242424
2068,Stephen Chbosky,364.0,102.0,139.0,850.0,Ezra Miller,8000.0,17738570.0,Logan Lerman,351274,13631,Kate Walsh,457.0,English,USA,PG-13,13000000.0,3000.0,8.0,1.85,131000,09/21/2012,Lionsgate Films,The Perks of Being a Wallflower,68.8888888888889
2069,Douglas McGrath,129.0,118.0,41.0,442.0,Isabella Rossellini,2000.0,1150403.0,Toby Jones,14143,3474,Hope Davis,102.0,English,USA,R,13000000.0,812.0,7.1,1.85,0,10/13/2006,Warner Independent Pictures,Infamous,70.47058823529412
2070,Michael Winterbottom,71.0,115.0,187.0,887.0,Sarah Polley,14000.0,403932.0,Milla Jovovich,5254,17104,Shirley Henderson,92.0,English,UK,R,20000000.0,900.0,6.5,2.35,141,12/29/2000,MGM Distribution Co,The Claim,63.10714285714285
2071,Mark Neveldine,93.0,91.0,83.0,794.0,Alison Lohman,3000.0,1712111.0,Djimon Hounsou,7199,7875,Dougray Scott,53.0,English,USA,PG-13,8495000.0,1000.0,4.5,1.85,0,07/24/2015,Pantelion Films,The Vatican Tapes,43.0
2072,Joe Cornish,399.0,88.0,115.0,304.0,Luke Treadaway,1000.0,1024175.0,John Boyega,82331,2011,Jodie Whittaker,297.0,English,UK,R,13000000.0,305.0,6.6,2.35,18000,07/29/2011,Screen Gems,Attack the Block,76.33333333333333
2073,Angelina Jolie Pitt,110.0,127.0,11000.0,116.0,Nikola Djuricko,306.0,301305.0,Jelena Jovanova,31414,796,Branko Djuric,180.0,Bosnian,USA,R,13000000.0,164.0,4.3,2.35,0,12/23/2011,Film District,In the Land of Blood and Honey,59.6551724137931
2074,Brad Anderson,285.0,94.0,122.0,383.0,Tara Platt,873.0,51872378.0,Michael Imperioli,88241,2812,Roma Maffia,266.0,English,USA,R,13000000.0,461.0,6.7,1.85,23000,03/15/2013,Sony Pictures,The Call,51.69565217391305
2075,John Stainton,61.0,90.0,0.0,234.0,Aden Young,477.0,28399192.0,Steve Irwin,5663,1483,Steve Bastoni,106.0,English,Australia,PG,13000000.0,238.0,5.4,2.35,332,07/12/2002,MGM Pictures,The Crocodile Hunter: Collision Course,54.65217391304348
2076,Glenn Ficarra,242.0,102.0,43.0,113.0,Louis Herthum,170.0,2035566.0,Dameon Clarke,77305,931,Annie Golden,162.0,English,France,R,13000000.0,157.0,6.6,1.85,11000,12/03/2010,Roadside Attractions,I Love You Phillip Morris,66.78125
2077,Denzel Washington,121.0,117.0,18000.0,543.0,Kevin Connolly,18000.0,21078145.0,Denzel Washington,26493,20456,Derek Luke,159.0,English,USA,PG-13,12500000.0,638.0,7.3,2.35,0,12/19/2002,Fox Searchlight Pictures,Antwone Fisher,66.0
2078,Michael Hoffman,83.0,109.0,97.0,355.0,Embeth Davidtz,13000.0,14060950.0,Gabriel Millman,14354,14347,Rob Morrow,139.0,English,USA,PG-13,12500000.0,795.0,6.9,1.85,0,11/22/2002,Universal Pictures,The Emperor's Club,54.40625
2079,Tony Scott,122.0,121.0,12000.0,975.0,Gary Oldman,11000.0,12281500.0,Brad Pitt,163492,23602,Michael Rapaport,460.0,English,USA,R,13000000.0,10000.0,8.0,2.35,15000,09/10/1993,Warner Bros.,True Romance,65.73684210526315
2080,James Foley,120.0,100.0,164.0,99.0,Al Pacino,18000.0,10725228.0,Kevin Spacey,75675,32288,Jude Ciccolella,365.0,English,USA,R,12500000.0,14000.0,7.8,2.35,0,09/29/1992,Artisan Home Entertainment,Glengarry Glen Ross,80.21428571428571
2081,Michael Winterbottom,225.0,109.0,187.0,204.0,Ned Beatty,818.0,214966.0,Liam Aiken,28483,1813,Jay R. Ferguson,176.0,English,USA,R,13000000.0,467.0,6.1,2.35,0,06/18/2010,IFC Films,The Killer Inside Me,56.6969696969697
2082,Stewart Hendler,167.0,101.0,10.0,472.0,Margo Harshman,1000.0,11956207.0,Julian Morris,24012,3142,Rumer Willis,126.0,English,USA,R,16000000.0,668.0,5.1,2.35,0,09/11/2009,Summit Entertainment,Sorority Row,33.18181818181818
2083,Craig Gillespie,226.0,106.0,44.0,552.0,Kelli Garner,33000.0,5949693.0,Ryan Gosling,114762,34351,Paul Schneider,299.0,English,USA,PG-13,12000000.0,730.0,7.4,1.85,19000,10/12/2007,MGM/Sidney Kimmel Entertainment,Lars and the Real Girl,71.0625
2084,Lars von Trier,177.0,140.0,3000.0,322.0,Udo Kier,963.0,4157491.0,Catherine Deneuve,79330,2894,Björk,690.0,English,Denmark,R,12800000.0,595.0,8.0,2.35,0,09/23/2000,Fine Line Features,Dancer in the Dark,64.27272727272727
2085,Gillian Armstrong,28.0,132.0,44.0,241.0,Richard Roxburgh,1000.0,1508689.0,Tom Wilkinson,5648,2004,Clive Russell,50.0,English,USA,R,16000000.0,653.0,6.7,2.35,329,12/31/1997,Twentieth Century Fox Home Entertainment,Oscar and Lucinda,66.5909090909091
2086,Brian Koppelman,116.0,90.0,34.0,506.0,David Costabile,966.0,4360548.0,Jenna Fischer,13371,2661,Richard Schiff,60.0,English,USA,R,15000000.0,681.0,6.4,1.85,0,05/21/2010,Anchor Bay Films,Solitary Man,70.5806451612903
2087,Ethan Maniquis,391.0,105.0,20.0,844.0,Don Johnson,22000.0,26589953.0,Robert De Niro,165792,26233,Cheech Marin,392.0,English,USA,R,10500000.0,982.0,6.7,1.85,44000,09/03/2010,20th Century Fox,Machete,62.96551724137931
2088,George Hickenlooper,117.0,108.0,60.0,168.0,Eric Schweig,18000.0,1039869.0,Kevin Spacey,14757,18739,Christian Campbell,51.0,English,Canada,R,15000000.0,322.0,6.2,2.35,0,12/17/2010,ATO Pictures,Casino Jack,55.95833333333334
2089,Don Bluth,24.0,69.0,383.0,191.0,Gabriel Damon,912.0,48092846.0,Judith Barsi,61753,1833,Bill Erwin,133.0,English,USA,G,12500000.0,320.0,7.3,1.33,5000,11/18/1988,MCA Universal Home Video,The Land Before Time,64.73333333333333
2090,Je-kyu Kang,86.0,148.0,16.0,489.0,Bin Won,717.0,1110186.0,Min-sik Choi,31943,1730,Dong-gun Jang,224.0,Korean,South Korea,R,12800000.0,517.0,8.1,2.35,0,09/03/2004,IDP,Tae Guk Gi: The Brotherhood of War,67.42105263157895
2091,William Dear,41.0,118.0,50.0,655.0,Cheech Marin,968.0,1089445.0,Clifton Collins Jr.,2676,4270,Bruce McGill,33.0,English,Canada,PG,12500000.0,844.0,7.0,2.35,0,04/16/2010,Visio Entertainment,The Perfect Game,47.89473684210525
2092,Steven Spielberg,385.0,130.0,14000.0,366.0,Robert Shaw,813.0,260000000.0,Roy Scheider,412454,2047,Murray Hamilton,962.0,English,USA,PG,8000000.0,559.0,8.0,2.35,21000,06/01/1975,Universal Pictures,Jaws,90.23809523809523
2093,Paul Weitz,145.0,95.0,80.0,1000.0,Shannon Elizabeth,3000.0,101736215.0,Alyson Hannigan,315549,8134,Natasha Lyonne,789.0,English,USA,R,11000000.0,1000.0,7.0,1.85,0,07/09/1999,Universal Pictures,American Pie,60.53333333333333
2094,Michael Ritchie,29.0,94.0,23.0,148.0,Randall 'Tex' Cobb,400.0,79817937.0,Victor Wong,39798,1044,Charlotte Lewis,69.0,English,USA,PG-13,25000000.0,255.0,5.9,1.85,0,12/12/1986,Paramount Home Video,The Golden Child,40.66666666666666
2095,Tim Story,77.0,122.0,167.0,807.0,Romany Malco,997.0,91547205.0,Chris Brown,34579,5165,Regina Hall,62.0,English,USA,PG-13,12000000.0,966.0,6.6,2.35,0,04/20/2012,Sony Screen Gems,Think Like a Man,56.7
2096,Tim Story,91.0,102.0,167.0,436.0,Jason George,656.0,75074950.0,Sean Patrick Thomas,22147,2754,Cedric the Entertainer,156.0,English,USA,PG-13,12000000.0,528.0,6.3,1.85,770,09/13/2002,MGM/UA,Barbershop,68.65517241379311
2097,Nicholas Meyer,148.0,116.0,120.0,664.0,Kirstie Alley,12000.0,78900000.0,Leonard Nimoy,91414,16539,Nichelle Nichols,359.0,English,USA,PG,11000000.0,980.0,7.7,2.35,0,06/04/1982,Paramount Pictures,Star Trek II: The Wrath of Khan,69.3888888888889
2098,Tom Shadyac,61.0,78.0,293.0,567.0,Udo Kier,759.0,72217000.0,Sean Young,216486,2462,David Margulies,242.0,English,USA,PG-13,12000000.0,595.0,6.9,1.85,0,06/01/1993,Warner Bros. Pictures,Ace Ventura: Pet Detective,45.78571428571429
2099,Peter Weir,83.0,112.0,608.0,733.0,Viggo Mortensen,11000.0,65500000.0,Harrison Ford,66966,22479,Lukas Haas,175.0,English,USA,R,12000000.0,10000.0,7.4,1.85,0,02/08/1985,Paramount Pictures,Witness,77.28571428571429
2100,Mike McCoy,216.0,110.0,16.0,11.0,Jason Cottle,93.0,70011073.0,Alex Veadov,57996,146,Rorke Denver,349.0,English,USA,R,12000000.0,17.0,6.5,2.35,15000,02/24/2012,Relativity Media,Act of Valor,45.88235294117647
2101,Anne Fletcher,107.0,104.0,98.0,920.0,Alyson Stoner,17000.0,65269010.0,Channing Tatum,90938,21380,Josh Henderson,271.0,English,USA,PG-13,12000000.0,2000.0,6.5,2.35,0,08/11/2006,Buena Vista,Step Up,51.0
2102,Quentin Tarantino,140.0,154.0,16000.0,889.0,Sid Haig,22000.0,39647595.0,Robert De Niro,239540,25522,Robert Forster,462.0,English,USA,R,12000000.0,1000.0,7.5,1.85,0,12/25/1997,Miramax Films,Jackie Brown,67.08695652173913
2103,Josh Trank,414.0,89.0,128.0,371.0,Alex Russell,963.0,64572496.0,Michael Kelly,204327,2054,Ashley Hinshaw,471.0,English,USA,PG-13,12000000.0,465.0,7.1,1.85,32000,02/03/2012,20th Century Fox,Chronicle,70.48387096774194
2104,Terry Gilliam,139.0,103.0,0.0,504.0,Michael Palin,629.0,42365600.0,Shelley Duvall,45890,2730,Kenny Baker,177.0,English,UK,PG,5000000.0,561.0,7.0,1.85,0,11/06/1981,Paramount Home Video,Time Bandits,81.83333333333333
2105,Tamra Davis,111.0,93.0,33.0,135.0,Katherine Boecher,1000.0,37188667.0,Britney Spears,34219,1531,Dave Allen,578.0,English,USA,PG-13,12000000.0,188.0,3.3,1.85,0,02/15/2002,Paramount Pictures,Crossroads,40.76744186046512
2106,Nima Nourizadeh,229.0,93.0,166.0,281.0,Kirby Bliss Blanton,971.0,54724272.0,Dax Flame,157051,2043,Oliver Cooper,261.0,English,USA,R,12000000.0,329.0,6.7,1.85,29000,04/17/1987,Anchor Bay Entertainment,Project X,52.95
2107,Mark Romanek,207.0,96.0,132.0,933.0,Gary Cole,49000.0,31597131.0,Robin Williams,97938,52138,Connie Nielsen,605.0,English,USA,R,12000000.0,989.0,6.8,1.85,0,08/21/2002,Fox Searchlight,One Hour Photo,67.62857142857143
2108,John Erick Dowdle,198.0,89.0,66.0,1000.0,Jay Hernandez,137000.0,31691811.0,Andrew Fiscella,57446,140268,Dania Ramirez,369.0,English,USA,R,12000000.0,1000.0,6.0,1.85,0,10/10/2008,Screen Gems,Quarantine,55.78571428571429
2109,David Moreau,172.0,92.0,0.0,451.0,Alessandro Nivola,17000.0,31397498.0,Chloë Grace Moretz,44130,18765,Obba Babatundé,156.0,English,USA,PG-13,12000000.0,527.0,5.4,2.35,0,02/01/2008,Lionsgate Films,The Eye,59.56410256410256
2110,Christopher Erskin,45.0,97.0,4.0,826.0,Shannon Elizabeth,1000.0,31179516.0,Vanessa Williams,5928,5006,Shad Moss,49.0,English,USA,PG-13,12000000.0,1000.0,4.3,2.35,243,04/07/2004,Fox Searchlight Pictures,Johnson Family Vacation,35.875
2111,Brian Henson,75.0,89.0,53.0,84.0,Jerry Nelson,227.0,27281507.0,Steven Mackintosh,33850,534,Steve Whitmire,147.0,English,USA,G,12000000.0,94.0,7.7,1.85,0,01/01/1992,Walt Disney Home Entertainment,The Muppet Christmas Carol,69.0
2112,Julie Taymor,128.0,123.0,278.0,898.0,Roger Rees,4000.0,25776062.0,Salma Hayek,61651,7072,Valeria Golino,271.0,English,USA,R,12000000.0,1000.0,7.4,1.85,0,10/25/2002,Miramax Films,Frida,64.44736842105263
2113,Dan Cutforth,68.0,93.0,4.0,8.0,Ashley Ashida Dixon,28.0,25240988.0,Lexie Contursi,12383,52,Anthony Burrell,50.0,English,USA,PG,12000000.0,9.0,5.9,1.85,0,07/05/2012,Paramount Pictures,Katy Perry: Part of Me,60.5
2114,John Dahl,128.0,121.0,131.0,599.0,Martin Landau,13000.0,22905674.0,Matt Damon,121676,14890,Gretchen Mol,290.0,English,USA,R,12000000.0,940.0,7.4,2.35,0,09/11/1998,Miramax,Rounders,57.84375
2115,David Koepp,164.0,99.0,192.0,282.0,Kathryn Erbe,347.0,21133087.0,Illeana Douglas,62468,1254,Lusia Strus,374.0,English,USA,R,12000000.0,301.0,7.0,1.85,0,09/10/1999,Artisan Entertainment,Stir of Echoes,69.4
2116,Stephen Frears,354.0,98.0,350.0,322.0,Mare Winningham,1000.0,37707719.0,Steve Coogan,76094,2376,Peter Hermann,233.0,English,UK,PG-13,12000000.0,482.0,7.6,1.85,37000,11/22/2013,The Weinstein Company,Philomena,78.80952380952381
2117,Mike Binder,125.0,118.0,57.0,805.0,Erika Christensen,975.0,18761993.0,Alicia Witt,19007,2944,Joan Allen,219.0,English,USA,R,9000000.0,931.0,6.9,2.35,549,03/11/2005,New Line Cinema,The Upside of Anger,66.55555555555556
2118,Elizabeth Allen Rosenbaum,66.0,104.0,20.0,717.0,Joanna 'JoJo' Levesque,836.0,18595716.0,Tammin Sursok,30462,3963,Dichen Lachman,150.0,English,USA,PG,12000000.0,826.0,5.3,1.85,0,03/03/2006,20th Century Fox,Aquamarine,56.03703703703704
2119,Jake Schreier,191.0,109.0,14.0,376.0,Cara Delevingne,733.0,31990064.0,Nat Wolff,63390,2753,Meg Crosbie,160.0,English,USA,PG-13,12000000.0,558.0,6.4,2.35,0,07/24/2015,20th Century Fox,Paper Towns,59.17647058823529
2120,Alexander Payne,433.0,115.0,729.0,622.0,Bruce Dern,1000.0,17613460.0,Devin Ratray,91082,3798,Will Forte,274.0,English,USA,R,12000000.0,844.0,7.8,2.35,28000,11/15/2013,Paramount Pictures,Nebraska,85.4
2121,Tim Hill,37.0,91.0,25.0,611.0,Amber Valletta,833.0,17292381.0,Noel Fisher,5794,4551,Larry Miller,69.0,English,USA,PG,12000000.0,626.0,5.3,1.85,371,10/05/2001,Buena Vista Pictures,Max Keeble's Big Move,44.89473684210525
2122,Jason Reitman,325.0,94.0,655.0,390.0,Patton Oswalt,9000.0,16300302.0,Charlize Theron,64682,10575,Collette Wolfe,203.0,English,USA,R,12000000.0,786.0,6.3,1.85,0,12/16/2011,Paramount Studios,Young Adult,72.92857142857143
2123,Mark Neveldine,170.0,93.0,83.0,501.0,Edi Gathegi,26000.0,27829874.0,Jason Statham,196422,28767,Jose Pablo Cantillo,444.0,English,USA,R,12000000.0,725.0,7.0,1.78,0,09/01/2006,Lionsgate,Crank,61.05263157894736
2124,Richard LaGravenese,24.0,100.0,98.0,604.0,Eddie Cibrian,1000.0,12902790.0,Holly Hunter,4052,3250,Jenette Goldstein,88.0,English,USA,R,12000000.0,849.0,6.6,2.35,242,10/30/1998,New Line Home Entertainment,Living Out Loud,64.82608695652173
2125,Wallace Wolodarsky,53.0,93.0,32.0,503.0,Barry Watson,529.0,10198766.0,Heather Matarazzo,12007,2393,Harland Williams,105.0,English,USA,R,12000000.0,526.0,5.4,1.85,507,03/22/2002,Touchstone Pictures,Sorority Boys,34.3
2126,Richard Curtis,274.0,123.0,628.0,171.0,Tom Hollander,565.0,15294553.0,Tom Hughes,202341,1595,Lindsay Duncan,391.0,English,UK,R,12000000.0,555.0,7.8,2.35,105000,11/01/2013,Universal Pictures,About Time,60.264705882352935
2127,Yimou Zhang,248.0,119.0,611.0,4.0,Andy Lau,755.0,11041228.0,Takeshi Kaneshiro,92295,1244,Zhengyong Zhang,420.0,Mandarin,China,PG-13,100000000.0,483.0,7.6,2.35,0,12/03/2004,Sony Pictures Classics,House of Flying Daggers,88.0
2128,Nicholas Jarecki,288.0,107.0,27.0,360.0,Curtiss Cook,664.0,7918283.0,Nate Parker,41574,2440,Reg E. Cathey,145.0,English,USA,R,12000000.0,591.0,6.6,1.85,0,09/14/2012,Roadside Attractions,Arbitrage,73.71428571428571
2129,Dean Israelite,177.0,106.0,16.0,265.0,Jonny Weston,452.0,22331028.0,Gary Weeks,57349,1819,Sofia Black-D'Elia,177.0,English,USA,PG-13,12000000.0,328.0,6.4,2.35,0,01/30/2015,Paramount Pictures,Project Almanac,51.08
2130,Darnell Martin,81.0,109.0,67.0,192.0,Veronika Dash,436.0,8134217.0,Cedric the Entertainer,15412,1141,Tammy Blanchard,90.0,English,USA,R,12000000.0,223.0,7.0,2.35,0,12/05/2008,Sony Pictures,Cadillac Records,66.5
2131,Christopher Guest,144.0,86.0,378.0,783.0,Catherine O'Hara,957.0,5542025.0,John Michael Higgins,12197,3535,Ed Begley Jr.,150.0,English,USA,PG-13,12000000.0,925.0,6.3,1.85,650,11/17/2006,Warner Independent Pictures,For Your Consideration,69.81818181818181
2132,Jane Campion,138.0,113.0,319.0,48.0,Nick Damici,1000.0,4717455.0,Jennifer Jason Leigh,18632,1171,Susan Gardner,354.0,English,Australia,R,12000000.0,65.0,5.3,1.85,656,10/22/2003,Sony Pictures,In the Cut,51.39473684210525
2133,James Gray,190.0,110.0,115.0,103.0,Vinessa Shaw,812.0,3148482.0,Isabella Rossellini,29613,1540,Samantha Ivers,98.0,English,USA,R,12000000.0,580.0,7.1,2.35,0,05/19/2008,Magnolia Pictures,Two Lovers,74.33333333333333
2134,Antonia Bird,131.0,101.0,61.0,611.0,Jeffrey Jones,769.0,2060953.0,Jeremy Davies,29990,2543,David Arquette,316.0,English,Czech Republic,R,12000000.0,692.0,7.1,2.35,0,03/19/1999,20th Century Fox,Ravenous,49.30434782608695
2135,Jon Poll,146.0,97.0,20.0,442.0,Megan Park,21000.0,3950294.0,Robert Downey Jr.,56654,22577,Hope Davis,124.0,English,USA,R,12000000.0,569.0,7.0,1.85,0,05/01/2007,MGM,Charlie Bartlett,58.08
2136,Paolo Sorrentino,280.0,172.0,667.0,70.0,Sabrina Ferilli,211.0,2835886.0,Toni Servillo,55516,456,Serena Grandi,124.0,Italian,Italy,Not Rated,9200000.0,98.0,7.7,2.35,29000,11/15/2013,Janus Films,The Great Beauty,85.17647058823529
2137,Peter Care,78.0,104.0,0.0,77.0,Michael Harding,1000.0,1779284.0,Kieran Culkin,12047,1292,Jake Richardson,122.0,English,USA,R,12000000.0,165.0,7.1,1.85,677,06/14/2002,ThinkFilm,The Dangerous Lives of Altar Boys,70.0
2138,Chan-wook Park,469.0,99.0,0.0,520.0,Alden Ehrenreich,3000.0,1702277.0,Mia Wasikowska,84620,5074,Harmony Korine,235.0,English,UK,R,12000000.0,1000.0,6.8,2.35,27000,03/01/2013,Fox Searchlight Pictures,Stoker,63.547619047619044
2139,Ira Sachs,121.0,91.0,60.0,18.0,Erin Boyes,60.0,1506998.0,David Richmond-Peck,8014,141,Timothy Webber,50.0,English,USA,PG-13,12000000.0,46.0,6.3,1.85,314,03/07/2008,Sony Classics,Married Life,66.79310344827586
2140,Carroll Ballard,38.0,100.0,19.0,393.0,Hope Davis,706.0,860002.0,Eamonn Walker,6454,1579,Campbell Scott,43.0,English,USA,PG,12000000.0,442.0,7.3,1.85,0,09/30/2005,Warner Bros. Pictures,Duma,81.61904761904762
2141,Neil Jordan,123.0,111.0,277.0,289.0,Stephen Rea,845.0,548934.0,Tony Curran,16863,1554,Alicja Bachleda,57.0,English,Ireland,PG-13,12000000.0,327.0,6.8,1.85,0,06/04/2010,Magnolia Pictures,Ondine,67.42857142857143
2142,Takeshi Kitano,81.0,114.0,0.0,403.0,Tatyana Ali,865.0,447750.0,Omar Epps,18520,2126,James Shigeta,133.0,English,USA,R,10000000.0,685.0,7.2,1.85,0,06/01/2001,Sony Pictures Classics,Brother,51.04347826086956
2143,Anthony Russo,72.0,86.0,94.0,146.0,Isaiah Washington,693.0,333976.0,Michael Jeter,12559,1373,Andy Davoli,90.0,English,USA,R,12000000.0,534.0,6.4,2.35,423,10/04/2002,Warner Bros.,Welcome to Collinwood,63.86363636363637
2144,Vadim Perelman,78.0,90.0,26.0,350.0,Lynn Cohen,797.0,303439.0,Eva Amurri Martino,12125,2073,Brett Cullen,78.0,English,USA,R,8000000.0,474.0,6.4,2.35,1000,09/08/2007,Magnolia Pictures,The Life Before Her Eyes,45.48
2145,Marco Kreuzpaintner,69.0,120.0,7.0,289.0,Kate del Castillo,662.0,214202.0,Zack Ward,14831,1952,Alicja Bachleda,75.0,English,Germany,R,12000000.0,345.0,7.5,2.35,0,09/28/2007,Roadside Attractions,Trade,47.68181818181818
2146,Chuan Lu,149.0,132.0,14.0,3.0,Yuanyuan Gao,52.0,119922.0,Ye Liu,8429,91,Ryu Kohata,62.0,Mandarin,China,R,12000000.0,32.0,7.7,2.35,0,05/11/2011,Cinema Ventures,City of Life and Death,85.0
2147,Mary Lambert,98.0,103.0,52.0,426.0,Fred Gwynne,969.0,57469179.0,Miko Hughes,63855,2987,Denise Crosby,248.0,English,USA,R,11500000.0,886.0,6.6,1.85,0,04/21/1989,Paramount Home Video,Pet Sematary,56.03703703703704
2148,Joe Dante,183.0,106.0,287.0,233.0,Harry Carey Jr.,767.0,148170000.0,Phoebe Cates,142293,2053,Zach Galligan,245.0,English,USA,PG,11000000.0,281.0,7.2,2.2,14000,06/01/1984,Warner Bros. Pictures,Gremlins,69.92307692307692
2149,George Lucas,282.0,125.0,0.0,504.0,Peter Cushing,11000.0,460935665.0,Harrison Ford,911097,13485,Kenny Baker,1470.0,English,USA,PG,11000000.0,1000.0,8.7,2.35,33000,05/25/1977,20th Century Fox,Star Wars: Episode IV - A New Hope,90.125
2150,Dan Mazer,158.0,109.0,11.0,411.0,Zoey Deutch,22000.0,35537564.0,Robert De Niro,49671,24063,Jason Mantzoukas,166.0,English,USA,R,11500000.0,851.0,6.0,2.35,11000,01/22/2016,Lionsgate Films,Dirty Grandpa,28.85185185185185
2151,David Lean,89.0,200.0,767.0,382.0,Klaus Kinski,597.0,111722000.0,Julie Christie,55816,1966,Geraldine Chaplin,255.0,English,USA,PG-13,11000000.0,396.0,8.0,2.35,7000,12/22/1965,MGM,Doctor Zhivago,74.14285714285714
2152,David O. Russell,410.0,116.0,737.0,141.0,Jack McGee,23000.0,93571803.0,Christian Bale,275869,23811,Melissa McMeekin,389.0,English,USA,R,25000000.0,238.0,7.9,2.35,36000,12/10/2010,Paramount Pictures,The Fighter,79.17073170731706
2153,R.J. Cutler,141.0,107.0,15.0,602.0,Mireille Enos,17000.0,50461335.0,Chloë Grace Moretz,83893,20466,Stacy Keach,132.0,English,USA,PG-13,11000000.0,1000.0,6.8,2.35,15000,08/22/2014,Warner Bros. Pictures,If I Stay,49.805555555555564
2154,David S. Ward,57.0,107.0,42.0,808.0,Tom Berenger,1000.0,49797148.0,Corbin Bernsen,49007,3435,Rene Russo,97.0,English,USA,R,11000000.0,854.0,7.2,1.85,0,04/07/1989,Paramount Home Video,Major League,62.2
2155,Joel Schumacher,216.0,81.0,541.0,328.0,John Enos III,991.0,46563158.0,Radha Mitchell,207934,2562,Richard T. Jones,629.0,English,USA,R,13000000.0,465.0,7.1,2.35,0,04/04/2003,20th Century Fox,Phone Booth,60.228571428571435
2156,Adam Shankman,80.0,101.0,163.0,488.0,Peter Coyote,683.0,41227069.0,Lauren German,162701,2436,Paz de la Huerta,962.0,English,USA,PG,11000000.0,548.0,7.4,2.35,19000,01/25/2002,Warner Bros. Pictures,A Walk to Remember,42.884615384615394
2157,Tim Robbins,77.0,122.0,0.0,191.0,Celia Weston,276.0,39025000.0,Lois Smith,73193,903,Robert Prosky,190.0,English,UK,R,11000000.0,258.0,7.6,1.85,0,12/29/1995,Gramercy Pictures,Dead Man Walking,81.80769230769229
2158,Roger Kumble,101.0,97.0,16.0,637.0,Sean Patrick Thomas,4000.0,38201895.0,Sarah Michelle Gellar,149222,6223,Eric Mabius,749.0,English,USA,R,10500000.0,656.0,6.9,1.85,0,03/05/1999,Columbia Pictures,Cruel Intentions,58.33333333333334
2159,Kevin Greutert,156.0,92.0,52.0,647.0,Shawnee Smith,723.0,27669413.0,Costas Mandylor,76207,3101,George Newbern,194.0,English,Canada,R,11000000.0,651.0,6.0,1.85,0,10/23/2009,Lionsgate,Saw VI,37.5
2160,Gina Prince-Bythewood,109.0,110.0,107.0,549.0,Alicia Keys,664.0,37766350.0,Nate Parker,19440,3376,Jennifer Hudson,56.0,English,USA,PG-13,11000000.0,551.0,7.3,2.35,0,10/17/2008,Fox Searchlight,The Secret Life of Bees,60.71875
2161,John Crowley,351.0,111.0,34.0,54.0,Fiona Glascott,838.0,38317535.0,Julie Walters,73249,995,Eva Birthistle,212.0,English,UK,PG-13,11000000.0,55.0,7.5,1.85,36000,11/04/2015,Fox Searchlight Pictures,Brooklyn,86.91111111111111
